Category,Country of Nationality,Arrivals (in Numbers),Business and Professional,Leisure Holiday and Recreation,Medical,Indian Diaspora,Others
North America,Canada,351040,9.7,64.8,0.9,23.8,0.8
North America,United States,1456678,16.9,51.1,1.1,29.9,1
North America,Total,1807718,15.5,53.8,1.1,28.7,0.9
Central & South America,Argentina,16345,9.8,87.8,0.2,1.6,0.6
Central & South America,Brazil,26579,27.3,66.2,0.5,4.2,1.8
Central & South America,Mexico,19909,16.3,78.7,0.5,3.3,1.2
Central & South America,Others,38252,17.9,69.2,0.9,9.4,2.6
Central & South America,Total,101085,18.7,73.3,0.6,5.6,1.8
Western Europe,Austria,33200,25.8,57.4,0.9,15.1,0.8
Western Europe,Belgium,44086,27.3,56.1,0.7,14.7,1.2
Western Europe,Denmark,28195,35,56.3,0.4,7.5,0.8
Western Europe,Finland,21239,31.1,59.8,0.6,7.5,1
Western Europe,France,261653,22.9,66.4,0.5,8.6,1.6
Western Europe,Germany,274087,31.8,56.5,0.5,10.2,1
Western Europe,Greece,10656,23,63.6,1.3,8.7,3.4
Western Europe,Ireland,39276,22.6,46.9,1.1,28.7,0.7
Western Europe,Italy,126931,25.3,59.7,0.6,13.7,0.7
Western Europe,Netherlands,81615,32.7,52.4,0.8,13,1.1
Western Europe,Norway,22631,18.4,56.8,0.8,22.8,1.2
Western Europe,Portugal,74492,9.7,42.3,1,46,1
Western Europe,Spain,84356,19.2,73.7,0.4,6.1,0.6
Western Europe,Sweden,46743,30.1,57.5,0.7,11.3,0.4
Western Europe,Switzerland,49322,21,67.6,0.7,9.7,1
Western Europe,United Kingdom,1029757,14.8,55.1,1,27.3,1.8
Western Europe,Others,15396,21.4,63.7,1.4,11.9,1.6
Western Europe,Total,2243635,20.6,57.4,0.8,19.8,1.4
Eastern Europe,Czech Republic,13413,32.6,62.6,0.4,3.5,0.9
Eastern Europe,Hungary,9201,26.9,67.4,0.6,3.9,1.2
Eastern Europe,Kazakhistan,13314,7.2,82.1,3.1,5.4,2.2
Eastern Europe,Poland,31555,24.3,70.8,0.3,3.5,1.1
Eastern Europe,Russian Federation,262309,6.9,89.8,0.5,2.2,0.6
Eastern Europe,Ukraine,26260,12.9,75.4,1.5,5.6,4.6
Eastern Europe,Others,109997,12.8,64.9,15.6,4.4,2.3
Eastern Europe,Total,466049,11,80.4,4.2,3.2,1.2
Africa,Egypt,20486,41,41.3,2.9,9.3,5.5
Africa,Kenya,48845,12.8,44.6,16.5,23.5,2.6
Africa,Mauritius,42096,5,77.1,6.3,9.3,2.3
Africa,Nigeria,12067,17.5,12.6,46.9,9.3,13.7
Africa,South Africa,58613,19.3,70.4,1,8.6,0.7
Africa,Sudan,34712,54.6,7.5,25,4.4,8.5
Africa,United Republic Of Tanzan,23443,18.8,34.2,22.3,16.3,8.4
Africa,Others,110936,21.1,38.3,18,12.6,10
Africa,Total,351198,21.9,45.2,14.6,12.2,6.1
West Asia,Bahrain,13915,8.1,60.3,10.5,17.5,3.6
West Asia,Iraq,68462,1.9,7.2,86.6,2.5,1.8
West Asia,Israel,67366,26,71,0.3,2.3,0.4
West Asia,Oman,95160,1.7,66.8,28.9,2.1,0.5
West Asia,Saudi Arabia,47546,8.6,72.5,10.4,7,1.5
West Asia,Turkey,33825,39.5,48.4,2.3,7.7,2.1
West Asia,United Arab Emirates,59971,2.8,91.9,1.6,3.3,0.4
West Asia,Yemen,21674,5.9,20.7,54.7,7.5,11.2
West Asia,Others,41629,18.4,67.7,4.7,6.8,2.4
West Asia,Total,449548,11,58.6,24.2,4.5,1.7
South Asia,Afghanistan,153905,7.8,48.7,30.4,6.8,6.3
South Asia,Bangladesh,2256675,4.9,78.9,14.3,0.9,1
South Asia,Bhutan,26470,11.8,68.5,6.3,11.3,2.1
South Asia,Iran,35596,8.7,78.9,0.7,4.4,7.3
South Asia,Maldives,62337,12.9,48.9,21.8,13,3.4
South Asia,Nepal,174096,15.3,63.4,6.6,12.2,2.5
South Asia,Pakistan,41659,4.1,39,3.9,3,50
South Asia,Sri Lanka,353684,19.2,72.1,1.9,5.6,1.2
South Asia,Total,3104422,7.5,74.5,13,2.7,2.3
South East Asia,Indonesia,46867,23.3,62.6,1.3,10.9,1.9
South East Asia,Malaysia,319172,9.2,72.3,0.5,16.3,1.7
South East Asia,Myanmar (burma),75773,6.6,85.9,3.1,2.4,2
South East Asia,Philippines,53473,24.1,54.2,3.4,9,9.3
South East Asia,Singapore,183581,21.8,48.3,1.2,28.1,0.6
South East Asia,Thailand,166293,12,81.4,0.5,3.8,2.3
South East Asia,Vietnam,31427,14.3,79.6,0.3,2.1,3.7
South East Asia,Others,10502,9.1,72.8,8.8,5.4,3.9
South East Asia,Total,887088,13.9,68.9,1.2,13.9,2.1
East Asia,China,281768,47.6,48,0.3,3.4,0.7
East Asia,Japan,236236,61.3,34.9,0.3,2.8,0.7
East Asia,Republic Of Korea,150536,46.8,46.6,0.3,4.2,2.1
East Asia,Taiwan,49457,31.9,64.6,0.3,2.4,0.8
East Asia,Others,6571,14.7,56.2,7.5,13.3,8.3
East Asia,Total,724568,50.5,44.7,0.3,3.4,1.1
Australasia,Australia,346486,13.8,48.5,0.9,36.1,0.7
Australasia,New Zealand,60664,13.2,52.6,1.1,32.3,0.8
Australasia,Others,5478,7.4,54.1,21.3,12.1,5.1
Australasia,Total,412628,13.6,49.2,1.2,35.3,0.7
Not Classified Elsewhere,Not Classified Elsewhere - Total,10037,15.5,53.8,1.1,28.7,0.9
Grand Total,Grand Total,10557976,16.3,62.4,6.1,13.5,1.7
